School Name,State Name [Public School] Latest available year,Full-Time Equivalent (FTE) Teachers [Public School] 2012-13,Full-Time Equivalent (FTE) Teachers [Public School] 2011-12,Full-Time Equivalent (FTE) Teachers [Public School] 2010-11,Pupil/Teacher Ratio [Public School] 2012-13,Pupil/Teacher Ratio [Public School] 2011-12,Pupil/Teacher Ratio [Public School] 2010-11,School ID - NCES Assigned [Public School] Latest available year
ACADEMY FOR CAREER EDUCATION CHARTER,California,†,†,–,†,†,–,064235008437
ACADEMY FOR CHANGE,California,4.4,4,–,4.32,7.5,–,060837011853
ACADEMY FOR ENRICHED SCIENCES,California,10,4.01,†,21.6,25.69,†,062271013006
ACADEMY OF ARTS AND SCIENCES,California,16.1,17.55,–,21.12,19.43,–,063441012526
ACADEMY OF ARTS AND SCIENCES: DEL MAR ELEMENTARY (,California,0.18,†,†,138.89,†,†,062610013068
ACADEMY OF ARTS AND SCIENCES: DEL MAR MIDDLE & HIG,California,0.99,†,†,11.11,†,†,062610013179
ACADEMY OF ARTS AND SCIENCES: EL CAJON ELEMENTARY,California,–,†,†,–,†,†,062610013140
ACADEMY OF ARTS AND SCIENCES: OXNARD & VENTURA,California,0.18,†,†,94.44,†,†,062646013077
ACADEMY OF ARTS AND SCIENCES: SONOMA,California,0.13,†,†,15.38,†,†,060994013111
ACADEMY OF ARTS AND SCIENCES: THOUSAND OAKS & SIMI,California,0.95,†,†,53.68,†,†,062646013069
ACADEMY OF CAREERS AND EXPLORATION,California,9.75,10,–,18.97,21.1,–,061686012368
ACADEMY OF MEDICAL & HEALTH SCIENCES AT ROOSEVELT,California,26.66,30.03,–,16.32,16.05,–,062271012783
ACADEMY OF MEDICAL ARTS AT CARSON HIGH,California,21,†,†,24.19,†,†,062271013104
ACADEMY OF PERFORMING ARTS AND FOREIGN LANGUAGE,California,15,15.5,–,29.87,29.48,–,064104010367
ACADEMY OF PERSONALIZED LEARNING,California,23.96,21.75,–,20.03,18.57,–,061495012533
ACADEMY OF SCIENCE AND ENGINEERING,California,5.7,†,†,26.14,†,†,062271013044
ACADEMY OF TECHNOLOGY & LEADERSHIP AT SATICOY,California,13.3,14.98,–,26.47,23.97,–,064098006765
ACADEMY OF THE CANYONS,California,12.75,12.75,–,29.65,30.51,–,064251008517
ACADEMY OF THE REDWOODS,California,6.4,8.4,–,28.75,28.69,–,061419010801
ACADEMY PERFORMING PRESCHOOL,California,–,†,†,–,†,†,064104013396
ACALANES CENTER FOR INDEPENDENT STUDY,California,3.8,6.6,–,7.63,7.73,–,060165010751
ACALANES HIGH,California,67.4,66.6,–,20.62,20.81,–,060165000032
ACCELERATED,California,27,23.5,–,28.63,30.17,–,062271003245
ACCELERATED ACHIEVEMENT ACADEMY,California,7.73,7.66,–,21.35,21.8,–,064030010552
ACCELERATED ACHIEVEMENT ACADEMY,California,3.25,3.31,–,28.92,28.1,–,061734012565
ACCELERATED ELEMENTARY CHARTER,California,10,5,–,24.7,33.4,–,062271010830
ACCESS COUNTY COMMUNITY,California,155.5,151,–,26.24,29.31,–,069102410567
ACCESS JUVENILE HALL,California,72.5,70,–,15.46,17.2,–,069102409236
ACE CHARTER HIGH,California,4,†,†,24.75,†,†,061182013023
ACE EMPOWER ACADEMY,California,13,13,–,35.85,27.62,–,069103512198
ACHIEVE ACADEMY,California,8.28,8.34,–,27.29,29.38,–,062805011561
ACHIEVE CHARTER SCHOOL OF PARADISE INC.,California,9,9,–,23,23.56,–,062982011571
ACORN WOODLAND ELEMENTARY,California,14,11.01,–,19.07,21.44,–,062805010730
ADA CLEGG ELEMENTARY,California,22,22,–,23.77,22.82,–,064215012492
ADA GIVENS ELEMENTARY,California,20,19,–,23.6,24.21,–,062460003686
ADA S. NELSON ELEMENTARY,California,17,17,–,30.47,29.53,–,062289003501
ADA W. HARRIS ELEMENTARY,California,18.3,19.05,–,20.11,20.21,–,060747000706
ADALINE E. KENT MIDDLE,California,31.33,31.33,–,17.01,16.66,–,061938002329
ADAM (WILLIAM LAIRD) ELEMENTARY,California,36.5,35,–,27.26,26.83,–,060558009312
ADAMS (J. DOUGLAS) MIDDLE,California,42.01,41,–,24.88,25.12,–,060591011574
ADAMS ELEMENTARY,California,21,26,–,27.43,23.31,–,063531005981
ADAMS ELEMENTARY,California,23,24,–,19.52,18.63,–,062724009593
ADAMS ELEMENTARY,California,†,†,–,†,†,–,063536006015
ADAMS ELEMENTARY,California,14.48,20.75,–,36.6,26.41,–,063801006398
ADAMS ELEMENTARY,California,20.01,21,–,17.79,15.81,–,063432005407
ADAMS ELEMENTARY,California,18.48,19.98,–,26.89,24.77,–,063315005129
ADAMS ELEMENTARY,California,24,22.5,†,23.54,24.13,†,060141406015
ADAMS MIDDLE,California,35.79,35.3,–,25.76,25.61,–,060003204949
ADDAMS ELEMENTARY,California,30,31,–,28.7,27.29,–,061455001703
ADDAMS ELEMENTARY,California,32,32,–,30.41,29.22,–,062250002695
ADDISON ELEMENTARY,California,23.7,22.06,–,19.75,21.44,–,062961004579
ADELANTE CHARTER,California,†,†,–,†,†,–,063536008628
ADELANTE CHARTER,California,9,10,†,25,21.6,†,060141408628
ADELANTE DUAL LANGUAGE ACADEMY,California,24.75,22.3,–,20.65,20.81,–,060231011793
ADELANTE HIGH,California,1,0.50,–,4,14,–,063227002047
ADELANTE HIGH,California,3.2,3,–,20.63,21.33,–,060006111814
ADELANTE HIGH (CONTINUATION),California,11.95,12.05,–,14.23,11.37,–,063363005189
ADELANTE SPANISH IMMERSION,California,21.2,21.6,–,26.75,26.81,–,063213007421
ADELANTO CHARTER ACADEMY,California,†,1,–,–,43,–,060171012454
ADELANTO ELEMENTARY,California,19,20,–,30.05,28.2,–,060171000038
ADELANTO HIGH,California,35.5,†,†,27.97,†,†,063697212990
ADELE HARRISON MIDDLE,California,21.8,21.04,–,20.78,21.34,–,063720010436
ADOBE BLUFFS ELEMENTARY,California,17,17,–,23.24,22.35,–,063153001203
ADOLFO CAMARILLO HIGH,California,90.63,93.84,–,27.82,26.57,–,062927004516
ADRIAN WILCOX HIGH,California,83.25,83.35,–,22.22,22.46,–,063543006055
ADULT EDUCATION,California,†,–,–,–,–,–,060813012588
ADULT EDUCATION,California,†,–,–,–,–,–,061488012598
AEOLIAN ELEMENTARY,California,19,26,–,29.37,20.69,–,062289003499
AFFLERBAUGH-PAIGE CAMP,California,18,12.5,–,10.11,11.28,–,069107812710
AGGELER COMMUNITY DAY,California,8,9.01,–,10.25,9.21,–,062271011315
AGNES J. JOHNSON  ELEMENTARY,California,3,3,–,20.67,16,–,063759006363
AGNES L. SMITH ELEMENTARY,California,32,30,–,26.63,29.53,–,061803002224
AGNES M. BAPTIST ELEMENTARY,California,19.07,21,–,28.47,28.43,–,063795009643
AGNES WARE STANLEY ELEMENTARY,California,15,16,–,26,25.88,–,061488001882
AGOURA HIGH,California,90.49,87.4,–,24.09,24.99,–,062100002518
AGUA CALIENTE ELEMENTARY,California,23,24,–,27.78,27.33,–,062955004559
AGUA DULCE ELEMENTARY,California,6.8,8.7,–,25.59,23.33,–,060000106294
AHWAHNEE HIGH,California,1.17,1.17,–,15.38,17.95,–,060016007902
AHWAHNEE MIDDLE,California,32.81,31.8,–,19.72,22.83,–,061455001704
AILEEN COLBURN ELEMENTARY,California,18,16,–,24.89,24.81,–,060342000256
AKERS ELEMENTARY,California,35,36,–,19.06,19.69,–,060798000765
AKIRA YOKOMI ELEMENTARY,California,31,32,–,27.45,27.34,–,061455010778
ALABAMA HILLS COMMUNITY DAY,California,–,–,–,–,–,–,069101108490
ALAIN LEROY LOCKE COLLEGE PREP ACADEMY,California,42,36.4,–,19.26,21.46,–,062271012248
ALAMEDA COMMUNITY LEARNING CENTER,California,12.37,9.94,–,24.49,30.99,–,060177008673
ALAMEDA COUNTY COMMUNITY,California,13,10,–,16.15,18.2,–,069105106830
ALAMEDA COUNTY JUVENILE HALL/COURT,California,25,23,–,7.72,9.7,–,069105109264
ALAMEDA COUNTY OPPORTUNITY,California,3,3,–,21,25.67,–,069105109265
ALAMEDA COUNTY SPECIAL EDUCATION,California,–,–,–,–,–,–,069105108672
ALAMEDA ELEMENTARY,California,32,29.6,–,19.84,21.01,–,061146001260
ALAMEDA HIGH,California,78.8,78.8,–,22.73,23.52,–,060177000041
ALAMEDA SCIENCE AND TECHNOLOGY INSTITUTE,California,6.05,7,–,26.94,24.29,–,060177010547
ALAMITOS INTERMEDIATE,California,27.84,28.87,–,31,30.1,–,061488001822
ALAMO ELEMENTARY,California,23,22.7,–,27.22,25.55,–,064059006697
ALAMO ELEMENTARY,California,23,23,–,22.78,22.22,–,063441005582
ALAMO ELEMENTARY,California,13.54,15.07,–,23.93,21.43,–,063513005942
ALAMOS ELEMENTARY,California,27.5,31.5,–,26.33,22,–,060002811039
ALAMOSA PARK ELEMENTARY,California,22,25,–,26.32,25.48,–,064119009204
ALBA,California,15,16,–,1.73,2.25,–,063432007682
ALBANY CHILDREN'S CENTER,California,1,†,†,20,†,†,060186013188
ALBANY HIGH,California,55.52,55.1,–,20.93,21.78,–,060186000059
ALBANY MIDDLE,California,43.5,45,–,20.46,20,–,060186000060
ALBANY PARK ELEMENTARY,California,30.5,31.5,–,22.1,19.84,–,061089007275
ALBERT A. MICHELSON ELEMENTARY,California,11.5,11,–,19.48,21.09,–,064068006715
ALBERT BAXTER ELEMENTARY,California,16.5,17,–,30.36,30.71,–,060444005836
ALBERT EINSTEIN ACAD FOR LTRS ARTS AND SCIS - VEN,California,–,†,†,–,†,†,069104713266
ALBERT EINSTEIN ACADEMY CHARTER MIDDLE,California,11.92,13.35,–,26.76,22.47,–,063432011766
ALBERT EINSTEIN ACADEMY FOR LETTERS ARTS AND SCIE,California,18.86,10,–,17.66,25.9,–,064251012655
ALBERT EINSTEIN CONTINUATION,California,3,4.01,–,29.67,26.93,–,062271002976
ALBERT EINSTEIN MIDDLE,California,28.7,18,–,25.02,40.89,–,063384005219
ALBERT F. BIELLA ELEMENTARY,California,26.84,25.14,–,17.59,19.29,–,063581009635
ALBERT POWELL CONTINUATION,California,11.5,11.9,–,21.3,17.31,–,064347007028
ALBERT SCHWEITZER ELEMENTARY,California,14.02,16,–,25.46,24.13,–,063462005818
ALBERT SCHWEITZER ELEMENTARY,California,27,28,–,24.89,24.21,–,062343003564
ALBERTA MARTONE ELEMENTARY,California,29,33,–,25.69,22.58,–,062513009156
ALBION ELEMENTARY,California,1,1,–,24,15,–,062448008196
ALBION STREET ELEMENTARY,California,13,16.01,–,22.38,21.86,–,062271002803
ALCOTT ELEMENTARY,California,35.5,38.83,–,27.01,24.39,–,063132004834
ALCOTT ELEMENTARY,California,33.37,33.56,–,27.06,25.63,–,063315005130
ALCOTT ELEMENTARY,California,10.8,11.8,–,18.15,15.93,–,063432005408
ALDAMA ELEMENTARY,California,27,29,–,24.07,23.24,–,062271002804
ALDER CREEK MIDDLE,California,26.5,28.2,–,20.53,19.01,–,063877011005
ALDER GROVE CHARTER,California,11.79,10.99,–,26.21,21.66,–,063735011593
ALDER MIDDLE,California,66.12,65.43,–,19.04,19.7,–,061392001585
ALDERWOOD ELEMENTARY,California,26,27,–,30.85,30.78,–,068450007373
ALESSANDRO,California,9.05,9.05,–,8.84,7.85,–,062580011025
ALESSANDRO HIGH,California,20.05,19.6,–,26.53,24.59,–,061692002149
ALEXANDER FLEMING MIDDLE,California,60,67,–,26.05,25.06,–,062271003011
ALEXANDER HAMILTON ELEMENTARY,California,25.28,31.17,–,33.23,27.53,–,063801011783
ALEXANDER HAMILTON SENIOR HIGH,California,122.34,123.15,–,24.91,24.32,–,062271003064
ALEXANDER ROSE ELEMENTARY,California,18,16,–,26.22,27.69,–,062450003672
ALEXANDER VALLEY ELEMENTARY,California,8.82,9.92,–,12.93,13.21,–,060189000064
ALEXANDRIA AVENUE ELEMENTARY,California,30,32,–,23.73,24.81,–,062271002805
ALFRED B. NOBEL CHARTER MIDDLE,California,77.83,81.19,–,32.02,29.89,–,062271003225
ALFRED S. MADRID MIDDLE,California,38.2,38.75,–,22.96,23.15,–,062619000454
ALHAMBRA HIGH,California,101.72,109.6,–,27.34,26.39,–,060015310929
ALHAMBRA SENIOR HIGH,California,56.6,56,–,22.01,23.18,–,062403003612
ALIANZA CHARTER,California,28,27,–,23.29,23.44,–,062949004554
ALICANTE AVENUE ELEMENTARY,California,44,42.25,–,27.05,27.31,–,062085002501
ALICE BIRNEY ELEMENTARY,California,22.4,21.4,–,20.49,22.1,–,060005201475
ALICE BIRNEY ELEMENTARY,California,34,33,–,22.85,23.76,–,060939007687
ALICE BIRNEY WALDORF-INSPIRED,California,18,16.4,–,30.56,29.63,–,063384007242
ALICE C. STELLE MIDDLE,California,31.91,34.3,–,26.04,25.34,–,062100011298
ALICE M. BIRNEY ELEMENTARY,California,19,22.5,–,26.16,23.78,–,061218001369
ALICE M. ELLINGTON ELEMENTARY,California,15,16,–,23.4,22.81,–,060360000271
ALICE N. STROUD ELEMENTARY,California,18.02,16.8,–,24.75,24.82,–,061269004134
ALICE SHAW ELEMENTARY,California,24,23.45,–,27.13,26.52,–,062871004468
ALICIA CORTEZ ELEMENTARY,California,29.95,28.5,–,26.44,28.67,–,060846000836
ALICIA REYES ELEMENTARY,California,22,23,–,24.86,25.22,–,062460009581
ALILA,California,25,25,–,26.56,25.92,–,061176010446
ALISAL COMMUNITY,California,24,23,–,29.71,28.91,–,060195000082
ALISAL ELEMENTARY,California,26.42,30.03,–,22.45,21.08,–,060002009285
ALISAL HIGH,California,98.64,100.75,–,24.58,23.65,–,063398005332
ALISO ELEMENTARY,California,17,19,–,26.06,23.58,–,060756000724
ALISO ELEMENTARY,California,†,†,–,†,†,–,063386005292
ALISO NIGUEL HIGH,California,97.12,105.47,–,30.82,28.18,–,060744002328
ALISO VIEJO MIDDLE,California,39.25,40.45,–,27.77,26.72,–,060744002334
ALL TRIBES CHARTER,California,4,–,–,17,–,–,060004210387
ALL TRIBES ELEMENTARY CHARTER,California,1.6,–,–,18.75,–,–,060004212735
ALLAN ORRENMAA ELEMENTARY,California,20,22,–,30.4,29.82,–,060243000138
ALLAN PETERSON ELEMENTARY,California,30,30,–,25.47,25.33,–,062460008899
ALLEN (DECIMA M.) ELEMENTARY,California,11.5,12.5,–,30.17,29.68,–,063423005393
ALLEN (ELLA B.) ELEMENTARY,California,23,20,–,17.91,20,–,060861000855
ALLEN AT STEINBECK,California,35.95,39.33,–,22.45,21.71,–,063459005697
ALLEN AVENUE ELEMENTARY,California,15,17.8,–,24.67,22.08,–,060561000503
ALLENDALE ELEMENTARY,California,16,16,–,26.56,26.38,–,062805004238
ALLENSWORTH ELEMENTARY,California,4.33,3.67,–,18.24,22.07,–,060198000086
ALLESANDRO ELEMENTARY,California,19,20,–,23.63,22.7,–,062271002807
ALLIANCE ACADEMY,California,14.26,12.51,–,24.75,29.1,–,062805012027
ALLIANCE CHRISTINE O'DONOVAN MIDDLE ACADEMY,California,18,19,–,25,23.26,–,062271012297
ALLIANCE CINDY AND BILL SIMON TECHNOLOGY ACADEMY H,California,18,14,–,22.56,22.57,–,062271012567
ALLIANCE COLLEGE-READY ACADEMY HIGH NO. 16,California,9.1,6.15,†,20.55,15.93,†,062271012766
ALLIANCE COLLEGE-READY ACADEMY HIGH NO. 18,California,–,†,†,–,†,†,062271012924
ALLIANCE COLLEGE-READY ACADEMY HIGH NO. 20,California,–,†,†,–,†,†,062271013099
ALLIANCE COLLEGE-READY ACADEMY HIGH NO. 5,California,33.2,31.2,–,18.31,20,–,062271011632
ALLIANCE COLLEGE-READY ACADEMY HIGH NO. 7,California,†,23.67,–,–,19.77,–,062271011844
ALLIANCE COLLEGE-READY MIDDLE ACADEMY NO. 10,California,–,†,†,–,†,†,062271013597
ALLIANCE COLLEGE-READY MIDDLE ACADEMY NO. 12,California,–,†,†,–,†,†,062271013403
ALLIANCE COLLEGE-READY MIDDLE ACADEMY NO. 4,California,17,16,–,29.41,30.31,–,062271012528
ALLIANCE COLLEGE-READY MIDDLE ACADEMY NO. 5,California,11,11,–,25.36,23.55,–,062271012474
ALLIANCE COLLEGE-READY MIDDLE ACADEMY NO. 7,California,15,11,–,29.6,26.55,–,062271012573
ALLIANCE COLLEGE-READY MIDDLE ACADEMY NO. 8,California,–,†,†,–,†,†,062271013273
ALLIANCE COLLEGE-READY MIDDLE ACADEMY NO. 9,California,–,†,†,–,†,†,062271013487
ALLIANCE DR. OLGA MOHAN HIGH,California,25.2,25,–,18.17,17.76,–,062271011633
ALLIANCE ENVIRONMENTAL SCIENCE AND TECHNOLOGY HIGH,California,27,21,–,20.33,21.76,–,062271012342
ALLIANCE GERTZ-RESSLER RICHARD MERKIN 6-12 COMPLEX,California,27,27,–,19.44,19.78,–,062271010851
ALLIANCE HEALTH SERVICES ACADEMY HIGH,California,24,22,–,19.75,18.55,–,062271012378
ALLIANCE HUNTINGTON PARK COLLEGE-READY ACADEMY HIG,California,29.5,29.05,–,20.14,19.76,–,062271010871
ALLIANCE JACK H. SKIRBALL MIDDLE,California,17.67,17.67,–,25.01,25.41,–,062271011634
ALLIANCE JUDY IVIE BURTON TECHNOLOGY ACADEMY HIGH,California,26,25,–,22.08,23.8,–,062271010867
ALLIANCE MARC & EVA STERN MATH AND SCIENCE,California,29,32,–,20.97,17.75,–,062271011642
ALLIANCE MEDIA ARTS AND ENTERTAINMENT DESIGN HIGH,California,15.5,15,–,21.61,20.13,–,062271012259
ALLIANCE OUCHI-O'DONOVAN 6-12 COMPLEX,California,25,22,–,21.8,23.41,–,062271011641
ALLIANCE RENEE AND MEYER LUSKIN ACADEMY HIGH,California,22,†,†,19.64,†,†,062271012848
ALLIANCE RICHARD MERKIN MIDDLE,California,17,18.8,–,27.53,25.05,–,062271010868
ALLIANCE SUSAN AND ERIC SMIDT TECHNOLOGY HIGH,California,6,†,†,23.67,†,†,062271012817
ALLIANCE TENNENBAUM FAMILY TECHNOLOGY HIGH,California,14.95,8,†,27.56,28.88,†,062271012572
ALLISON ELEMENTARY,California,17,19.5,–,23,20.72,–,063132004835
ALMA PRESCHOOL,California,–,–,–,–,–,–,060780012607
ALMADEN ELEMENTARY,California,19.95,19,–,20.8,22.21,–,063459005698
ALMANOR HIGH (CONTINUATION),California,1,–,–,4,–,–,063117007824
ALMERIA MIDDLE,California,43.11,40.15,–,22.76,24.86,–,061392009544
ALMOND ACRES CHARTER ACADEMY,California,7,†,†,21.43,†,†,063501013176
ALMOND ELEMENTARY,California,23.15,23.02,–,23.33,22.85,–,062265002782
ALMOND ELEMENTARY,California,22.58,23.5,–,27.64,27.49,–,061392011362
ALMOND TREE MIDDLE,California,33,33,–,22.48,21.76,–,061089007504
ALMONDALE ELEMENTARY,California,27,26,–,23.67,23.62,–,063348003149
ALOHA ELEMENTARY,California,17,14.5,–,22.41,26.76,–,060162000001
ALONDRA MIDDLE,California,28.5,32.5,–,33.58,28.77,–,062985012423
ALPAUGH ACHIEVEMENT ACADEMY CHARTER,California,–,–,–,–,–,–,060201011820
ALPAUGH ELEMENTARY,California,9,10,–,19.56,19.1,–,060201000087
ALPAUGH JUNIOR-SENIOR HIGH,California,11.5,11.5,–,12.17,11.57,–,060201000088
ALPHA CHARTER,California,–,†,†,–,†,†,061260013554
ALPHA ELEMENTARY,California,25.5,26,–,28,27.35,–,062334009397
ALPHA TECHNOLOGY MIDDLE,California,4.2,4.77,–,27.86,19.5,–,061260001423
ALPHA: BLANCA ALVARADO MIDDLE,California,5,†,†,35.4,†,†,060231012989
ALPHONSO B. PEREZ SPECIAL EDUCATION CENTER,California,36,37.05,–,9.64,9.5,–,062271007762
ALPINE CO ELEMENTARY COMMUNITY DAY,California,†,†,–,†,†,–,060207006969
ALPINE COMMUNITY DAY,California,–,1,–,–,1,–,060210010623
ALPINE COUNTY OPPORTUNITY,California,2,–,–,1,–,–,069105806965
ALPINE COUNTY SECONDARY COMMUNITY DAY,California,1,2,–,2,1.5,–,060207006968
ALPINE ELEMENTARY,California,20,22,–,27.05,26.18,–,061944002332
ALPINE ELEMENTARY,California,12.06,14.4,–,34.49,27.78,–,060210000091
ALPINE VISTA,California,–,†,†,–,†,†,063987013286
ALPS VIEW HIGH (CONTINUATION),California,0.79,0.79,–,10.13,8.86,–,060133106604
ALTA CALIFORNIA ELEMENTARY,California,34,34,–,24.26,23.85,–,062271012806
ALTA ELEMENTARY,California,16,15,–,25.94,25.87,–,061970002363
ALTA HEIGHTS ELEMENTARY,California,15,15.4,–,25.07,23.77,–,062664004011
ALTA LOMA ELEMENTARY,California,29,30,–,24.34,23.3,–,062271002808
ALTA LOMA ELEMENTARY,California,17,18,–,27.76,27.61,–,060216000093
ALTA LOMA HIGH,California,99.91,98.31,–,26.52,27.95,–,060816000790
ALTA LOMA JUNIOR HIGH,California,29,28.5,–,26.41,26.77,–,060216000094
ALTA LOMA MIDDLE,California,33.21,33.25,–,24.36,23.73,–,063753006339
ALTA MESA ELEMENTARY,California,8.6,11.6,–,27.21,18.71,–,061281001439
ALTA MURRIETA ELEMENTARY,California,23,25.5,–,29.91,25.65,–,060002909509
ALTA SIERRA ELEMENTARY,California,17,16,–,19.29,19.44,–,063093008942
ALTA SIERRA INTERMEDIATE,California,55.34,51.79,–,24.9,27.36,–,060903010202
ALTA VISTA ACADEMY,California,8.7,9,–,6.09,6.78,–,063864010385
ALTA VISTA ALTERNATIVE HIGH,California,5.4,3.97,†,24.81,25.69,†,060141412435
ALTA VISTA ALTERNATIVE HIGH,California,†,†,–,†,†,–,063537012435
ALTA VISTA ALTERNATIVE JUNIOR HIGH,California,–,0.17,†,–,5.88,†,060141412760
ALTA VISTA ALTERNATIVE JUNIOR HIGH,California,†,†,–,†,†,–,063537012760
ALTA VISTA COMMUNITY CHARTER,California,5.05,†,†,19.21,†,†,060348013170
ALTA VISTA ELEMENTARY,California,25,25,–,22.4,20.64,–,060222000098
ALTA VISTA ELEMENTARY,California,23.5,23.5,–,26.47,25.06,–,064032006667
ALTA VISTA ELEMENTARY,California,25,25,–,24.76,24.16,–,060003204950
ALTA VISTA HIGH,California,7.6,7.6,–,19.21,18.82,–,062631003931
ALTA VISTA HIGH (CONTINUATION),California,12.52,13.5,–,13.18,16.37,–,064119006812
ALTA VISTA PUBLIC,California,25.41,13,–,29.16,46.46,–,060171012521
ALTA-DUTCH FLAT ELEMENTARY,California,4.5,5.2,–,20,18.27,–,060225000099
ALTADENA ELEMENTARY,California,14.77,19,–,23.43,21.37,–,062994004661
ALTAMONT CREEK ELEMENTARY,California,30.57,27.97,–,19.1,21.31,–,062211008438
ALTERNATIVE COOPERATIVE EDUCATION CHARTER,California,5,5,–,29.2,27.6,–,064059012697
ALTERNATIVE EDUCATION-SAN JOAQUIN HIGH,California,3.6,3.6,–,31.67,28.33,–,068450009467
ALTERNATIVE FAMILY EDUCATION,California,5.1,4.7,–,34.31,34.04,–,063560007437
ALTERNATIVE LEARNING ACADEMY AT CONLEY-CARABALLO H,California,2,1,–,9,12,–,062691011552
ALTERNATIVE LEARNING CENTER,California,4,3,–,20.25,20.67,–,063417010048
ALTERNATIVE OPPORTUNITY PROGRAMS,California,–,–,–,–,–,–,069107810231
ALTIMIRA MIDDLE,California,21.4,22.84,–,22.34,20.36,–,063720006298
ALTURAS COMMUNITY DAY,California,–,1,–,–,1,–,062519011692
ALTURAS ELEMENTARY,California,19.05,18.5,–,18.95,19.95,–,062519003762
ALVARADO ELEMENTARY,California,16,18,–,25.75,23.56,–,062250009902
ALVARADO ELEMENTARY,California,26.19,24,–,19.97,21.46,–,063441005583
